Food Name,Category,Calories,Carbs (g),Protein (g),Fat (g),Serving Size,Unit,Serving Weight (g),Calories per 100g,Carbs per 100g,Protein per 100g,Fat per 100g
Beets,Vegetables,22,5,0.8,0.1,1,beet,50,44,10,1.6,0.2
Milk,Dairy,122,11.7,8.1,4.8,1,cup,244,50,4.8,3.3,2
Cheddar cheese,Dairy,114.5,0.9,6.5,9.4,1,oz,28.4,403.2,3.2,22.9,33.1
Mozzarella,Dairy,85,0.6,6.3,6.3,1,oz,28.4,299.3,2.1,22.2,22.2
Butter,Dairy,101.8,0,0.1,11.5,1,tbsp,14.2,716.9,0,0.7,81
Cream cheese,Dairy,101.5,1.6,1.8,10,2,tbsp,29,350,5.5,6.2,34.5
Yogurt,Dairy,107.1,12,8.9,2.6,1,container (6 oz),170,63,7.1,5.2,1.5
Ricotta,Dairy,171.1,6.4,14.1,9.8,0.5,cup,124,138,5.2,11.4,7.9
Parmesan,Dairy,21,0.7,1.4,1.4,1,tbsp,5,420,14,28,28
Swiss cheese,Dairy,424.4,1.6,29.1,33.5,1,"cup, shredded",108,393,1.5,26.9,31
Feta cheese,Dairy,74.8,1.2,4,6,1,oz,28.4,263.4,4.2,14.1,21.1
Gouda,Dairy,100.9,0.6,7.1,7.8,1,oz,28.4,355.3,2.1,25,27.5
Sour cream,Dairy,23.8,0.6,0.3,2.3,1,tbsp,12,198.3,5,2.5,19.2
Provolone,Dairy,99.5,0.6,7.2,7.5,1,oz,28.4,350.4,2.1,25.4,26.4
Blue cheese,Dairy,100.1,0.7,6.1,8.2,1,oz,28.4,352.5,2.5,21.5,28.9
Kidney beans,Legumes & Beans,224.8,40.4,15.3,0.9,1,cup,177,127,22.8,8.6,0.5
Pinto beans,Legumes & Beans,244.5,44.8,15.4,1.1,1,cup,171,143,26.2,9,0.6
Navy beans,Legumes & Beans,254.8,47.4,15,1.1,1,cup,182,140,26,8.2,0.6
Edamame,Legumes & Beans,93.8,6.9,9.2,4,0.5,"cup, shelled",77.5,121,8.9,11.9,5.2
Soybeans,Legumes & Beans,295.8,14.4,31.3,15.4,1,cup,172,172,8.4,18.2,9
Green peas,Legumes & Beans,134.4,25,8.6,0.3,1,cup,160,84,15.6,5.4,0.2
Mung beans,Legumes & Beans,212.1,38.7,14.2,0.8,1,cup,202,105,19.2,7,0.4
White beans,Legumes & Beans,248.8,44.9,17.4,0.6,1,cup,179,139,25.1,9.7,0.3
Adzuki beans,Legumes & Beans,294.4,57,17.3,0.2,1,cup,230,128,24.8,7.5,0.1
